昵称,性别,地区,评论
薄荷巧克粒,保密,辽宁,@喜欢喝奶茶的咩[笑哭] 是恐怖的 宝宝
_仇远,男,云南,刷反弹的是不是有冰？
菠菜小啊,保密,天津,这游戏真的总让我幻视美心 无论是叙事结构还是场景交互 但是没那个做得精致 一个工作室出的吗？
我推米库,保密,广东,电影我看过
-住在小镇的Melody-,保密,四川,你们平时做事很欠吗，反弹反弹的[笑哭]
汝か吾か,男,湖北,这个游戏视觉晃动贼晕不知道是平滑处理还是加了关不了的动态模糊
挂机正在和techno旅游,保密,吉林,看完那个电影之后我觉得，对付那个佛母最有效的办法就是，把那个村里的人全杀了，然后封闭这个地方（这个地方本身应该也比较偏僻），没有人供奉祂，时间长了他自然也就被削弱了
薛定谔的柚袅,女,四川,弹幕上怎么全是反弹。。[笑哭]
i波吉,男,北京,弹幕我都关了看，都被反弹麻了[笑哭]
黢黑の猪油,保密,河南,。。。。弹幕全程在反弹[无语]
Chicken7man,保密,北京,真有这么无聊的游戏😅
星際大戰斧牛排,保密,中国台湾,刷反彈...
Wanttopeeeee,保密,江西,"我嘞个。。
看到那个奶奶给我打手势的时候（类似是把不好的东西传给别人的手势吧）
妈呀结果刚好我旁边一袋塑料碗掉下来了
吓我一跳我的妈呀
我嘞个。。【em】e400870【/em】
这次没砸中我是有什么暗示吗（）"
Rose-coloredL,保密,江西,很短诶
悠然万华,保密,广东,截得不清，将就吧
小叶椰椰子,保密,江苏,反弹
鼻炎喵,男,山东,所以说恐怖游戏除了jumpscare就没有别的了吗
超激宇宙无敌大帅哥,保密,江苏,反弹
娇魂从回风,女,江苏,我来补完！
Mr-fangdong,男,广东,反弹
抱月桜,保密,中国澳门,无意冒犯，我实在听不出up是男生还是女生，所以到底是男生还是女生？
迢野子,保密,天津,弹幕简直低龄化我的老天全是刷反弹的 都是若智吗  未成年能不能别到处跳脚了
观山四面绝,保密,广东,不敢玩看看别人玩
银牙君,男,湖南,看寂静岭都没那么害怕，，，果然这种游戏更吓人....太怕这种一惊一乍的恐怖了
踩点朵拉,保密,陕西,声优真厉害啊天呐 配得真好
不会飞舞的飞舞,男,广东,那个佛母要耳朵，又刚好能够让女主误认女儿，达成了小女孩的愿望
小强的糊涂,男,河南,剧情推动靠主角降智，结尾强行放回忆煽情（还是之前根本没见过的“回忆”），再加上jumpscare太多。。。。。这游戏真是把缺点都集齐了。
独孤牧笛,男,广西,沟槽的怎么全在刷反弹?影响别人看视频
倔强灬羊驼,男,内蒙古,up是台湾人吗？
BOOM斑马,男,浙江,这其实没电影有张力的，电影更猛一点
JKisapig,保密,江苏,女主每一章开头都是醒过来喊芽芽
痴呆的夜猫子,保密,四川,这游戏剧情做的……
假如明日放晴,保密,广东,真的好奇怪的结局 姑婆婆真的死了吗？电影是悲剧吗？找个时间补补
bili_62728315637,保密,四川,@重十想干饭
清心一梦16880619,男,广东,佛母就应该神神秘秘的当个佛像不应该现形的，就算现形也搞个真正让人感到恐惧的东西，就搞个独眼怪物出来把IP搞废了，恐怖题材最好无解的才好看
便秘就选华莱士,男,福建,和港诡实录比恐怖程度如何？
蕾繆安安,保密,福建,我感觉这游戏做的真的好像逃生啊。。
其实你是一个好人,保密,广西,没意思，就这?
从不吃矮瓜,男,广东,突然理解为什么游戏动画片被家长举报了
bili_30335463727,保密,河南,反弹
bili_30335463727,保密,河南,永远反弹
奶昔好甜丫,女,北京,收藏了这个视频很久，这周身体生病才有机会好好把这个视频看完，太不容易了，质量还是一如既往的高，感觉看CC恐怖游戏多了，自己的接受度也高了很多，好像没有最开始那么害怕[给心心]
王者之心战斗,保密,浙江,白瞎这么好的地编 建模设计 但是这地图有点刻意复杂了 绕的很 内容厚度不够 很多没有意义 线索物料重复
孙豪爱端,保密,贵州,看不下去了 太晕了
cablelee,保密,广东,这一切都是佛母的安排，让威哥引诱找了女儿六年的佳君回村找女儿，以仙童那个小妹妹之眼来引诱女主进入环境杀掉姑婆，大家有没思考过，为何姑婆没得皮肤病没发疯，正常人一样，村子里所有有干系的人都得皮肤病发疯了，包括威哥也是有时头疼不止。猜想姑婆有让佛母害怕的能力在的，但还是佛母高招，一步步引诱女主杀掉姑婆。小妹妹就是佛母操作的傀儡，不是芽芽。最后女主也被佛母附身的小女孩迷惑没知觉了，只会机械式给小女孩梳头，小女孩邪魅地写着电影女主和她女儿的名字，一遍遍邪笑着喊着她两的名字，她身后的女主都没反应……这个佛母脾气不好，还挺能设局[打call]
英文童话故事机,保密,广西,看过了，玩到P2了啊，怎么样，感觉咋样？
想睇mirror朱咪咪,保密,广东,乱七八糟的故事，连同本电影…觉得并不是特别有意思
文明的傻辉夜,女,山东,一[脱单doge]
文明的傻辉夜,女,山东,一
羊羊der咦,女,河南,心疼姑婆婆 最看不得老人被欺负了[大哭]
我想到的名字都被用了,保密,浙江,彩蛋那里妹妹的反应是？
难受的屎壳郎,保密,浙江,他是不是陈家村的？[doge]
娇魂从回风,女,江苏,好看😍
